Course,Department,Title,ISBN,Author,Edition,Publisher,Grade,Course Code,Notes
Mystery of Jesus Christ,Religious Studies,Son of God and Son of Mary  ,9781847304926,Credo Series,"2013, 2011  ",Veritas Publications,Freshman (Spring),MOJCH1,Text or E-book allowed
Social Justice ,Religious Studies,Justice and Peace,9780159016749,Joseph Stoutzenberger,2007,Harcourt ,Junior (Spring),SOCJU,Provided by School
World Religions  ,Religious Studies,World Religions:  A Voyage of Discovery ,9780884897255,Jeffrey Brodd,2003,St. Mary's Press,Senior (Fall),WOREL,Provided by School
Anatomy & Physiology,Science,The Anatomy Coloring Book*,9780321832016,"Kapit, Elson",Fourth,Pearson,Junior Senior,ANPHY,"* 384-pages, Paperback to accompany textbook"
Anatomy & Physiology,Science,The Human Body in Health & Disease ,9780323101240,"Patton, Thibodeau",Sixth,Elsevier,Junior Senior,ANPHY,Hardbound textbook required. Student Resource Optional.
AP Biology,Science,Biology in Focus,9780321813800,"Urry, Cain, Wasserman, Minorsky, Jackson, Reece",First,"Campbell, Pearson",Junior Senior,APBIO,See instructor for digital code before June 1st
AP Chemistry,Science,Chemistry: The Central Science,9780321741059,"Brown, LeMay",Twelfth,Prentice Hall,Junior Senior,APCHE,See instructor before purchasing.
AP Physics 1,Science,Physics: Principles with Applications,9780130606204,Giancoli,Sixth,Prentice-Hall,Junior Senior,APPHY1,No E-book allowed
AP Physics 2,Science,Physics: Principles with Applications,9780130606204,Giancoli,Sixth,Prentice-Hall,Junior Senior,APPHY2,No E-book allowed
CP Biology,Science,Biology,9780078945861,Biggs et al.,2012,"McGraw-Hill, Glencoe Science",Freshman,CPBIO,No E-book allowed
CP Chemistry,Science,Basic Chemistry,9781292039534,Timberlake & Timberlake,Fourth,Pearson,Sophomore,CPCHE,Text or E-book allowed (No International Edition)
Environmental Science,Science,Environmental Science,9780547904016,"Heithaus, Arms",2013,Holt McDougal,Junior Senior,ENSCI,No E-book allowed
HC1 Honors Chemistry,Science,Basic Chemistry,9781292039534,Timberlake & Timberlake,Fourth,Pearson,Sophomore,HOHCC,Text or E-book allowed (No International Edition)
Honors Biology,Science,Biology Life on Earth,9780321729712,"Audesirk, Audesirk, Byers",Tenth,Pearson,Freshman,HOBIO,Text or E-book allowed
Honors Chemistry,Science,Basic Chemistry,9781292039534,Timberlake & Timberlake,Fourth,Pearson,Sophomore,HOCHE,Text or E-book allowed (No International Edition)
Kinesiology,Science,Principles of Athletic Training,9781259450051,Prentice,Fifteenth,McGraw-Hill,Junior Senior,KINES,Hardbound Textbook Required. Online Student Mastering Optional.
Marine Biology,Science,,,,,,Sophomore Junior Senior,MABIO,No Text Required
Nutrition Science,Science,Gut: The Inside Story of Our Body's Most Underrated Organ,9781771641494,Giulia Enders,2015,Greystone,Junior Senior,NUSCI,Paperback Textbook Required.
Physics,Science,Holt Physics,9780030505973,"Serway, Faughn",1999,"Holt, Rinehart, Winston",Junior Senior,PHYSI,No E-book allowed
Physics Honors,Science,Holt Physics,9780030505973,"Serway, Faughn",1999,"Holt, Rinehart, Winston",Junior Senior,HOPHY,No E-book allowed
Zoology,Science,,,,,,Sophomore Junior Senior,ZOOLO,No Text Required
HC1 Honors Biology,Science ,Biology Life on Earth,9780321729712,"Audesirk, Audesirk, Byers",Tenth,Pearson,Freshman,HOHCB,Text or E-book allowed
AP Macroeconomics,Social Studies,Macroeconomics,9780077660772,"McConnel, Brue, Flynn",Twentieth,McGraw-Hill,Senior,APMAC,
AP Psychology,Social Studies,Myer's Psychology for AP,9781429244367,Myers,First,Worth,Junior Senior,APPSY,
AP US Government and Politics,Social Studies,American Government: Institutions and Policies,9781305081215,"Wilson, Dilullio, Bose",Fourteenth,Wadsworth,Senior,APUSG,
AP US History,Social Studies,American Pagent A History of the American People,9781111831066,"Kennedy, Cohen",Fifteenth,Wadsworth,Junior,APUSH,
AP World History,Social Studies,Ways of the World,9780312487058,Strayer,Second,"Bedford, St Martin",Sophomore,APWOH,
Basic Law,Social Studies,Street Law,9780078600197,O'Brien,Seventh,McGraw-Hill,Senior,BASLA,
Child Development,Social Studies,The Developing Child ,9780205256020,"Boyd, Bee",Thirteenth,Pearson,Junior Senior,CHIDE,
Criminal Justice in America,Social Studies,Criminal Justice in America,9781886253469,Constitional Rights Found.,,Constitutional Rights Foundation,Senior,CJIAM,
Economics,Social Studies,Economics Principles and Practices,9780078799976,Clayton,,Glencoe,Senior,ECONO,
Fundamental Economics,Social Studies,Macroeconomics,9780077660772,"McConnel, Brue, Flynn",Twentieth,McGraw-Hill,Senior,FUNEC,
Psychology,Social Studies,Discovering Psychology,9781464102417,"Hockenbury, Hockenbury",Sixth,Worth,Junior Senior,PSYCH,
Sociology,Social Studies,Sociology: The Study of Human Relationships,9780554004419,Thomas,First,Holt MacDougal,Junior Senior,SOCIO,
US Government,Social Studies,Magruders Am.Gov.2016 ED Student Edition,9780133306996,Magruder,2016,Pearson,Senior,USGOV,
US History,Social Studies,America Pathways to the Present Modern American History,9780131335103,"Clayton, Perry, Reed, Winkler",2007,Pearson,Junior,USHIS,
World History,Social Studies,World History: The Modern Era,9780131299733,"Ellis, Esler",Seventh,Prentice Hall,Sophomore,WOHIS,
AP Computer Science Principles,Technology Focus,Computer Concepts 2016 - New Perspectives,9781305387751,Parsons,2016,Cengage,Junior,APCSP,Required
Exploring Computer Science,Technology Focus,,,,,,Junior,EXCOS,No Text Required
Game Programming I,Technology Focus,The Gamemaker's Apprentice,9781590596159,"Hapgood, Overmars, Wilson",2007,Apress,Freshman,GAMPR1,Optional
Game Programming II,Technology Focus,The Gamemaker's Companion,9781430228264,"Hapgood, Neilson",2010,Apress,Freshman,GAMPR2,Optional
Marketing Fundamentals,Technology Focus,,,,,,Senior,MAFUN,No Text Required
Robotics I,Technology Focus,,,,,,Sophomore,ROBOT1,No Text Required
Robotics II,Technology Focus,,,,,,Sophomore,ROBOT2,No Text Required
